time,gFx,gFy,gFz,TgF
5.014,-0.6415,-0.6753,0.1064,0.938
5.014,-0.7915,-0.5771,0.1176,0.987
5.014,-0.7755,-0.5597,0.0701,0.9590000000000001
5.015,-0.6608,-0.6224,0.0154,0.9079999999999999
5.015,-0.6199,-0.6842,-0.0007,0.9229999999999999
5.015,-0.6542,-0.7086,-0.0066,0.9640000000000001
5.015,-0.7009,-0.691,-0.0144,0.9840000000000001
5.016,-0.702,-0.667,-0.0217,0.9690000000000001
5.016,-0.6606,-0.6611,-0.0164,0.935
5.017,-0.6221,-0.6632,-0.0021,0.909
5.017,-0.6149,-0.6611,0.0164,0.903
5.017,-0.6215,-0.6533,0.0277,0.902
5.017,-0.6235,-0.645,0.0286,0.898
5.017,-0.6172,-0.6445,0.0277,0.893
5.018,-0.6084,-0.6439,0.0248,0.8859999999999999
5.018,-0.6055,-0.6409,0.0258,0.882
5.018,-0.6036,-0.6384,0.0292,0.879
5.018,-0.5998,-0.636,0.0341,0.875
5.018,-0.5954,-0.6359,0.0341,0.872
5.019,-0.5885,-0.6368,0.0341,0.868
5.019,-0.5841,-0.6373,0.0306,0.865
5.019,-0.5821,-0.6411,0.0287,0.866
5.019,-0.5787,-0.6397,0.0292,0.863
5.02,-0.5743,-0.6401,0.0297,0.86
5.02,-0.5684,-0.64,0.0311,0.857
5.02,-0.565,-0.639,0.0326,0.8540000000000001
5.02,-0.5582,-0.6394,0.0365,0.85
5.02,-0.5529,-0.6379,0.0399,0.845
5.021,-0.548,-0.6368,0.0419,0.841
5.021,-0.5475,-0.6339,0.0443,0.8390000000000001
5.021,-0.5441,-0.6334,0.0473,0.836
5.021,-0.5427,-0.6334,0.0473,0.835
5.021,-0.5407,-0.6334,0.0468,0.8340000000000001
5.022,-0.5392,-0.6348,0.0449,0.8340000000000001
5.022,-0.5406,-0.6373,0.0444,0.8370000000000001
5.022,-0.5406,-0.6392,0.0443,0.838
5.022,-0.5377,-0.6426,0.0433,0.8390000000000001
5.023,-0.5347,-0.6436,0.0433,0.838
5.023,-0.5347,-0.644,0.0439,0.838
5.023,-0.5322,-0.6455,0.0439,0.838
5.023,-0.5322,-0.647,0.0419,0.8390000000000001
5.023,-0.5322,-0.6499,0.0414,0.841
5.024,-0.5307,-0.6519,0.0409,0.8420000000000001
5.024,-0.5326,-0.6553,0.0409,0.845
5.024,-0.5355,-0.6583,0.0404,0.85
5.024,-0.5374,-0.6642,0.0409,0.855
5.024,-0.5388,-0.6677,0.0399,0.8590000000000001
5.025,-0.5412,-0.6706,0.038,0.863
5.025,-0.5431,-0.6746,0.037,0.867
5.027,-0.5464,-0.677,0.0355,0.871
5.034,-0.5459,-0.6799,0.0331,0.873
5.034,-0.5468,-0.6824,0.0292,0.875
5.034,-0.5483,-0.6849,0.0267,0.878
5.036,-0.5496,-0.6888,0.0238,0.882
5.038,-0.5496,-0.6932,0.0199,0.885
5.043,-0.5505,-0.6972,0.0165,0.888
5.045,-0.5538,-0.702,0.014,0.894
5.046,-0.5532,-0.7089,0.0086,0.899
5.048,-0.555,-0.7119,0.0062,0.903
5.051,-0.553,-0.7177,0.0042,0.9059999999999999
5.055,-0.5515,-0.7196,0.0013,0.907
5.056,-0.5466,-0.7225,0.0013,0.9059999999999999
5.058,-0.5397,-0.7244,0.0013,0.903
5.06,-0.5344,-0.7238,0.0008,0.9
5.064,-0.5265,-0.7228,0.0032,0.894
5.065,-0.5197,-0.7212,0.0023,0.889
5.068,-0.5109,-0.7202,0.0018,0.883
5.07,-0.5037,-0.72,0.0033,0.879
5.073,-0.4978,-0.721,0.0048,0.8759999999999999
5.075,-0.49,-0.7189,0.0067,0.87
5.078,-0.4813,-0.7174,0.0087,0.8640000000000001
5.08,-0.4744,-0.7144,0.0106,0.858
5.083,-0.4687,-0.7089,0.0121,0.85
5.085,-0.4638,-0.7084,0.0126,0.847
5.088,-0.4599,-0.7069,0.0145,0.843
5.09,-0.457,-0.7053,0.014,0.841
5.092,-0.456,-0.7058,0.0155,0.84
5.095,-0.457,-0.7053,0.0184,0.841
5.098,-0.4594,-0.7103,0.0175,0.846
5.1,-0.4637,-0.7147,0.0175,0.852
5.103,-0.4715,-0.7212,0.0179,0.862
5.105,-0.4826,-0.7306,0.0165,0.8759999999999999
5.108,-0.4982,-0.7406,0.016,0.893
5.11,-0.5121,-0.753,0.014,0.9109999999999999
5.112,-0.5276,-0.7674,0.0106,0.9309999999999999
5.115,-0.545,-0.7828,0.0081,0.9540000000000001
5.117,-0.5629,-0.7987,0.0056,0.977
5.12,-0.5807,-0.8155,0.0017,1.001
5.122,-0.5977,-0.8324,-0.0027,1.025
5.124,-0.6135,-0.8491,-0.0071,1.048
5.127,-0.6285,-0.8631,-0.0101,1.068
5.132,-0.639,-0.8749,-0.013,1.084
5.132,-0.6467,-0.8844,-0.0169,1.0959999999999999
5.134,-0.6534,-0.8927,-0.0233,1.107
5.136,-0.6592,-0.8982,-0.0253,1.114
5.14,-0.6636,-0.8998,-0.0267,1.1179999999999999
5.142,-0.6636,-0.9007,-0.0267,1.119
5.144,-0.6616,-0.8992,-0.0277,1.117
5.146,-0.6626,-0.8968,-0.0302,1.115
5.149,-0.6655,-0.8939,-0.0312,1.115
5.153,-0.6675,-0.8905,-0.0331,1.113
5.154,-0.6696,-0.8851,-0.0336,1.11
5.156,-0.6696,-0.8777,-0.0331,1.104
5.159,-0.6682,-0.8718,-0.0317,1.099
5.161,-0.665,-0.862,-0.0267,1.089
5.164,-0.6599,-0.8458,-0.0184,1.073
5.167,-0.6558,-0.8306,-0.0067,1.058
5.168,-0.6522,-0.8139,0.0085,1.043
5.171,-0.6502,-0.7963,0.0261,1.028
5.174,-0.6505,-0.7792,0.0437,1.016
5.176,-0.6504,-0.763,0.0643,1.005
5.178,-0.6497,-0.7478,0.0799,0.9940000000000001
5.181,-0.6486,-0.7341,0.0941,0.9840000000000001
5.184,-0.6518,-0.7214,0.1098,0.978
5.186,-0.6564,-0.7122,0.1225,0.976
5.188,-0.6669,-0.706,0.1372,0.981
5.191,-0.6774,-0.7003,0.1474,0.985
5.193,-0.6873,-0.6975,0.1562,0.992
5.195,-0.7026,-0.6947,0.166,1.002
5.198,-0.7183,-0.6929,0.1733,1.013
5.2,-0.7339,-0.6965,0.1772,1.0270000000000001
5.203,-0.7526,-0.6943,0.1821,1.04
5.205,-0.7716,-0.699,0.187,1.058
5.209,-0.7922,-0.7051,0.1914,1.078
5.211,-0.8137,-0.7097,0.1937,1.097
5.213,-0.8351,-0.7135,0.1933,1.115
5.215,-0.8551,-0.72,0.1933,1.1340000000000001
5.217,-0.8765,-0.7266,0.1908,1.1540000000000001
5.22,-0.8949,-0.7327,0.1883,1.172
5.223,-0.9154,-0.7408,0.1834,1.192
5.225,-0.9348,-0.7473,0.1781,1.21
5.227,-0.9552,-0.7554,0.1716,1.23
5.231,-0.9706,-0.7649,0.1638,1.247
